STATION_CODE,STATION_NAME
SBPD,Sambalpur Road
SBPY,Sambalpur City
SBRA,Sarbahara
SCDG,DIPIKA II  SDG
SCM,Simhachalam
SCMM,M/S SAONER COAL MINES
SCMN,Simhachalam North
SCSK,SURAKACHAR COLLIERY SIDING
SDL,Shahdol
SEBD,Private Siding of M/s Vedanta Limited
SECL,ROBERTSON SIDING OF SECL
SEY,Seoni
SFC,Saintala
SFK,Sikir
SGBB,"SQT, Bhilai Marshalling Yard"
SGC,Saongi
SGDM,Sigadam
SGRD,Saragaon Road  HALT
SGRM,Singaram
SGTP,SANJAY GANDHI THERMAL POWER STATION SIDING
SISB,SUNFLAG IRON AND STEEL CO
SIY,Sirri
SJQ,Surajpur Road
SKLI,Sukli
SKPI,SIKARPAI
SKPR,Sikarpur P.H.
SKS,Salekasa
SKSO,Sikosa
SKT,Sakti
SKY,Shikara
SLH,Silyari
SLKR,Salka Road
SLPM,Shivalingapuram
SLRA,SARLA JN
SMC,Samnapur
SMER,Private Siding of M/s Shyam Metalics and Energy Limited
SMLG,Shimiliguda
SMSR,Samaswara
SNGP,Singhpur
SNKX,SANKRA   HALT
SNM,Sitanagarm
SNRL,Sansartali P.H
SNV,Sondad
SONR,Saoner
SOY,Sukri Mangela
SPDR,Sheoprasad Nagar HALT
SPRD,Singapuram Road
SPRM,Sitapuram Ph
SPY,Sarsonpuri
SRBA,Saragbundia
SRGD,Saragaon Deori
SRGP,Saragipali
SRWN,SARASWATI NAGAR  HALT
SSN,Sason
SSTI,"SOUTH SIDING,TIRODI"
STDV,M/S NTPC's SIMHADRI THERMAL POWER STATION
SUKU,Suku
SUP,Shrungavarapukota
SVNI,Sivni
SYE,Sindewahi
SZB,SARONA
SZH,Saonga
SZY,Silak-Jhori
TAR,Tharsa
TBD,TELIBANDHA P.H.
TEK,Tekkali Ph
TEP,Tempa
TGG,tiger hill
TGQ,Tenganmada
THV,Therubali
TIG,Titlagarh
TIU,Tilaru
TKLB,Takli (Bhansali)
TKRI,Tikiri
TLD,Tilda
TMB,Temburu p.h
